Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
convnext_tiny,1,baseline_convnext_artifacts_egregious_010,uniform,0.0,58.420243475586176,6.2319942522380085,youden,1.1995638608932495,0.065003845319286,0.0411840512221939,0.023819794097092103,0.8762463647694224,,,0.8031556988819433,0.7903475972856945,0.6107187370170336,0.44209742546081543,0.7831325301204819,0.8275862068965517,0.442,0.7403271760759678,0.8218466047069903,0.7974318999471204,0.854930686852555,0.6865376577828219,0.7710437284422194,0.8365301115930661,0.8899159429793821,0.6738505747126438,0.6096385542168675,0.442,0.9092543155252549,0.8869124982716626,0.9292205996532689,0.8682119776273243,0.8461538461538461,0.8378633496771998,0.7958579881656804,0.8053892215568862,0.8703374777975134,0.04186454291560312,0.7587962682783057,0.8464711730779555,0.8397479581366476,0.8969709396719194,0.7392672808834253,0.828791274770877,0.8531697288849485,0.9084387242178128,0.6725722822186806,0.6724510208617789,0.11090563035060477
convnext_tiny,2,baseline_convnext_artifacts_egregious_010,uniform,0.0,42.078058041632175,4.0075095105916265,youden,1.2308681011199951,0.08321059086445301,0.06774227973073721,0.0154683111337158,0.8832844574780059,,,0.8367103929160989,0.8021200903802702,0.6184446260596446,0.4546552300453186,0.8688172043010752,0.7496274217585692,0.454,0.8347001005984722,0.8981491335736054,0.7134999842588472,0.7805747388039583,0.665860410345656,0.742132175229275,0.8630037411821342,0.9161030826822593,0.6825633383010432,0.6559139784946236,0.454,0.902319694536327,0.8802812669510004,0.9233663224173322,0.8614680176461419,0.8004459308807135,0.8154561215047702,0.765399737876802,0.874251497005988,0.7566607460035524,0.10377547387012936,0.8338455681417123,0.9078482986988025,0.7190349166124514,0.791568203727369,0.6342348826858702,0.7245572524152155,0.880629287308639,0.9345552077912983,0.6105831474583809,0.5964121164591707,0.13582402026054533
convnext_tiny,3,baseline_convnext_artifacts_egregious_010,uniform,0.0,46.00889401882887,4.882162276241514,youden,1.1486141681671143,0.09572308504602568,0.09165321037740809,0.004069874668617593,0.8695711865201347,,,0.7996680339585479,0.7925967224532712,0.5955069348174044,0.6033691167831421,0.7612293144208038,0.8342776203966006,0.602,0.7176711689792816,0.8010896981703888,0.8047573994003093,0.8609703702835643,0.689501956110897,0.774289552817349,0.8250147600636542,0.8791650283077059,0.5864022662889519,0.6430260047281324,0.602,0.8979855564182471,0.8750410812478064,0.9185619436083429,0.8667000909905958,0.8127090301003345,0.8106114591421065,0.7613636363636364,0.8023952095808383,0.8188277087033747,0.1247508272262853,0.7555862943494442,0.8437484893754967,0.7844777690623826,0.849788875298265,0.6757650088791387,0.7692525913051089,0.8434387151890874,0.9018026783397713,0.610054634328709,0.607897420952936,0.14287306610517383
