Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
resnet50,1,baseline_artifacts_egregious_010,uniform,0.0,44.28320790082216,3.4627723428420722,youden,1.2721126079559326,0.087480920865716,0.07281548734402249,0.014665433521693513,0.8550270045700041,,,0.7721898223296596,0.7619633707242763,0.5805913308406038,0.3865703046321869,0.7903614457831325,0.7902298850574713,0.386,0.7479865103771061,0.8285387031911153,0.7565571803838372,0.8185578186703988,0.6468083017297569,0.7318529087694363,0.8340270503085147,0.8889632484474879,0.5847701149425287,0.5662650602409639,0.386,0.8712415311472967,0.8443221461162932,0.8963903011029452,0.7909307703059649,0.802675585284281,0.8105343487093308,0.7604871447902571,0.8413173652694611,0.7797513321492007,0.07550809457233651,0.7976334881970011,0.8788200434762117,0.7432085685789684,0.813327896819867,0.6464049182275129,0.7383898352067362,0.8614694792089865,0.9182603832325498,0.6033329006497907,0.5953311260810057,0.13544318132259087
resnet50,2,baseline_artifacts_egregious_010,uniform,0.0,50.02752858772874,3.484534845615809,youden,1.3305282592773438,0.08747376218228271,0.05295357637395952,0.034520185808323195,0.8482380654776214,,,0.7953105354069182,0.7682403089595051,0.5665112254218547,0.3522610068321228,0.8064516129032258,0.760059612518629,0.352,0.7675614513618016,0.8413903532621188,0.7258993196297722,0.7919136514893643,0.6588601013567597,0.7381759187316173,0.8188792308324174,0.8776241359368231,0.5424739195230999,0.5720430107526882,0.352,0.795237234234905,0.7627544644281596,0.8255821837674563,0.7278921910417322,0.7313266443701226,0.7232506567681688,0.6571834992887624,0.6916167664670658,0.7548845470692718,0.0940498054908005,0.6390486469726768,0.7407480996766788,0.71718130355987,0.7898884378839437,0.574438767383846,0.6755540834246266,0.7685079955434069,0.8378848031827659,0.43865191263806813,0.4371841634578585,0.17944095736075039
resnet50,3,baseline_artifacts_egregious_010,uniform,0.0,35.06465436890721,3.675636156151692,youden,1.232944130897522,0.09556842161106577,0.08922553977098373,0.00634288184008204,0.8155224720229843,,,0.7203247871151237,0.7250266208586984,0.47025160897139673,0.5918733477592468,0.6643026004728132,0.8059490084985835,0.5740000000000001,0.6340954248376305,0.7250545469477414,0.7569660123983553,0.8185005474859166,0.6124883791783866,0.7034190715241679,0.7733910802042245,0.8338087518234228,0.5,0.508274231678487,0.5740000000000001,0.8402005934844342,0.8109514097914295,0.8666534603971452,0.7840617584086039,0.738015607580825,0.7571978600525415,0.7029077117572693,0.8323353293413174,0.6820603907637656,0.18967107042188494,0.7878656051864025,0.8707925541924485,0.6418248590196433,0.7203723903364841,0.56188437867735,0.6533344379905557,0.8379267333069803,0.9024091073186985,0.49743958118769405,0.4785541656050325,0.19736226518724265
