Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
resnet50,1,baseline_artifacts_lenient_005,uniform,0.0,53.082348838448524,3.785152635465448,youden,1.3279515504837036,0.09394188214030642,0.063637091942667,0.030304790197639417,0.8379485843669225,,,0.754413495646971,0.7481014687318412,0.533739421991571,0.39738544821739197,0.7715617715617715,0.7621776504297995,0.396,0.7288678939785487,0.8104640766900921,0.7288062260357184,0.7933148556961954,0.6226304687269857,0.7073725392964789,0.8137446846074008,0.8718710934605807,0.5988538681948424,0.4988344988344988,0.396,0.8531445102689824,0.8251919783878071,0.8781245679156784,0.7970508355849295,0.798216276477146,0.7905414747769115,0.737300435413643,0.7604790419161677,0.8206039076376554,0.0687292795981319,0.7110135463302024,0.8052584887487919,0.786365687063362,0.8514340245659177,0.665484476142461,0.761865083719931,0.8196983746974817,0.8811940858490095,0.5744493513192944,0.5737464327252011,0.14479388215773928
resnet50,2,baseline_artifacts_lenient_005,uniform,0.0,31.82177292741835,3.871926380554214,youden,1.1436642408370972,0.048631831773929136,0.03634672295825653,0.012285108815672609,0.7963910240943091,,,0.7099721393637006,0.7161697287235875,0.481779325083589,0.367506206035614,0.745958429561201,0.735820895522388,0.366,0.7022046787204712,0.7863146177565155,0.7006980007892606,0.7688512286763595,0.6023169173778764,0.6879450720274838,0.7843947179414662,0.8476146515430835,0.4313432835820895,0.45265588914549654,0.366,0.881313749056062,0.855781952967954,0.9049216398464172,0.8009771112501136,0.8037904124860646,0.8077690090511694,0.7575757575757576,0.8233532934131736,0.7921847246891652,0.05982402380692919,0.7781383285923804,0.8627236272935206,0.7562875995852317,0.8249816908449652,0.653554724257501,0.746432561611896,0.8518939194048742,0.9098623370854466,0.5999203447044938,0.5945408690024296,0.13277131094350478
resnet50,3,baseline_artifacts_lenient_005,uniform,0.0,36.063034577295184,3.769382030185726,youden,1.1980441808700562,0.10991382227347553,0.11381396516651075,-0.0039001428930352244,0.8281976744186047,,,0.7636213316340436,0.7475290697674418,0.5,0.4672454595565796,0.8023255813953488,0.6976744186046512,0.466,0.7614928584259093,0.8389389616922274,0.661834513778615,0.7318085706077209,0.5820159462228582,0.6643924785024441,0.8173734945871358,0.8780296711704267,0.5043604651162791,0.5279069767441861,0.466,0.8541761946799119,0.8269300209527658,0.878841694940492,0.7894429262843939,0.7636566332218506,0.773970708671467,0.7195767195767195,0.8143712574850299,0.7335701598579041,0.1143987167755364,0.7684492555212517,0.8546157661641814,0.6949996119314448,0.769669161409333,0.5968081547708788,0.6902483610198905,0.83581381088325,0.8984421623489096,0.5307115376833397,0.5200738953552934,0.1615078693310267
