Model,Fold,Experiment,Border_Type,Border_Ratio,Train_Time_sec,Avg_Epoch_sec,Thr_Strategy,Temperature,Val_ECE_Uncal,Val_ECE_Cal,ECE_Improvement,Val_AUC,Val_AUROC_CI_L,Val_AUROC_CI_U,Val_AUPRC,Val_BalAcc,Val_YoudenJ,Val_YoudenThr,Val_Sens@Youden,Val_Spec@Youden,Val_OP_Thr,Val_Sens_CI_L,Val_Sens_CI_U,Val_Spec_CI_L,Val_Spec_CI_U,Val_PPV_CI_L,Val_PPV_CI_U,Val_NPV_CI_L,Val_NPV_CI_U,Val_Spec@90Sens,Val_Sens@90Spec,Test_Thr,Test_AUC,Test_AUROC_CI_L,Test_AUROC_CI_U,Test_AUPRC,Test_Acc,Test_BalAcc,Test_F1,Test_Sens,Test_Spec,Test_ECE,Test_Sens_CI_L,Test_Sens_CI_U,Test_Spec_CI_L,Test_Spec_CI_U,Test_PPV_CI_L,Test_PPV_CI_U,Test_NPV_CI_L,Test_NPV_CI_U,Test_MCC,Test_Kappa,Test_Brier
resnet50,1,baseline_artifacts_egregious_020,uniform,0.0,37.570594476535916,3.49157425891608,youden,1.2274346351623535,0.06858197853488242,0.04555605515717397,0.023025923377708445,0.8441874524762226,,,0.7516763577138351,0.7640888523241465,0.5545385986562458,0.37866199016571045,0.8018648018648019,0.7526737967914439,0.378,0.7609512744080031,0.8385555843354996,0.7201255534569622,0.7832151364635402,0.6079487273514407,0.6909284474609775,0.8403767023480414,0.8938630550937902,0.5655080213903743,0.5174825174825175,0.378,0.8769317492900522,0.8503306442177812,0.9004750268557026,0.8042106676392992,0.7971014492753623,0.8030493187692112,0.7520435967302452,0.8263473053892215,0.7797513321492007,0.0535890031751316,0.781376396972619,0.8654177125343013,0.7432085685789684,0.813327896819867,0.642140906060684,0.7350208098259442,0.8517607611576273,0.9101816585295058,0.5894711417443108,0.5826819155517156,0.13446014245057453
resnet50,2,baseline_artifacts_egregious_020,uniform,0.0,39.103209590539336,3.6243259964510797,youden,1.248311161994934,0.07781713933629152,0.05896427719706324,0.018852862139228273,0.8417784536905062,,,0.7971747980789435,0.778830481542354,0.562124487666487,0.4679390490055084,0.7494356659142212,0.8126888217522659,0.466,0.7063685530482116,0.789135506627909,0.7808420687793933,0.8417167322127146,0.6847405154272767,0.768412623523488,0.7977489363557504,0.8571570473165108,0.5196374622356495,0.5778781038374717,0.466,0.8924282872975187,0.8710034194488465,0.9136369800363748,0.8439095967433106,0.8193979933110368,0.813504429861414,0.7652173913043478,0.7904191616766467,0.8365896980461812,0.040303370633983815,0.7427831435724751,0.8328204183371406,0.8034098764413724,0.8661868246580712,0.6927998045434722,0.7862768611600568,0.8393691839838087,0.8977278662378647,0.619551591327968,0.6187205146908339,0.12785221793909438
resnet50,3,baseline_artifacts_egregious_020,uniform,0.0,34.22944972850382,3.59179216892355,youden,1.176520586013794,0.14006860924033085,0.13727114909415036,0.002797460146180486,0.8323601379156934,,,0.7676940288095261,0.7478103103103103,0.5264639639639639,0.5916493535041809,0.7847222222222222,0.7417417417417418,0.59,0.7429197737359549,0.8225743219875422,0.7036112581672697,0.7717346770764708,0.6180389908779031,0.7017325528975922,0.8088311027147926,0.8697274419782718,0.5510510510510511,0.5231481481481481,0.59,0.8438699864923793,0.8163374405717873,0.8710305410493401,0.7381093150237926,0.7670011148272018,0.765065783176099,0.7076923076923077,0.7574850299401198,0.7726465364120781,0.1447372382824437,0.7078540159439807,0.8024846371992298,0.7357549534253838,0.8066482976039295,0.6141669668032209,0.7113444769198387,0.8087147123990885,0.8733402200573004,0.5184701491162111,0.5153820502679354,0.17747989251901783
