threshold,n_total,n_drop,pct_drop
0.0,4279,1297,30.310820285113344
0.01,4279,695,16.24211264314092
0.02,4279,396,9.254498714652957
0.05,4279,156,3.645711614863286
0.1,4279,81,1.8929656461790139
0.15,4279,42,0.9815377424631924
0.2,4279,12,0.2804393549894835
